state,fips,median_age,median_income,foreign_born,population_2022,poverty_perc,white_poverty_perc,blkAA_poverty_perc,AIAN_poverty_perc,asian_poverty_perc,PI_poverty_perc,other_poverty_perc,twomore_poverty_perc,hisp_poverty_perc,whitenon_poverty_perc,total_population,white_total,blkAA_total,AIAN_total,asian_total,PI_total,other_total,twomore_total,whitenon_edu_perc,white_edu_perc,blkAA_edu_perc,AIAN_edu_perc,asian_edu_perc,PI_edu_perc,other_edu_perc,twomore_edu_perc,hisp_edu_perc,no_highschool,employment_perc,unemployment_perc,leg_ctrl,gov_party,state_ctrl,bills_introduced,bills_enacted,reincarceration,det_sentencing,ag_employment,construct_employment,manu_employment,wtrade_employment,rtrade_employment,trans_employment,info_employment,finance_employment,prof_employment,edu_employment,arts_employment,other_employment,public_employment
New York,36,39.3,50120,4459752,19677151,9.7,6.4,16.5,18.9,11.1,13.7,19.1,12.9,17.1,5.7,20201249,11143349,2986172,149690,1933127,10815,2210633,1767463,45.4,44,25.9,19.6,49,19.1,17.4,34,22,12.4,58.8,6.2,1,1,1,"17,159","2,428",32,0,0.6,5.8,5.8,2.1,9.8,5.7,2.8,8,12.6,28.8,8.6,4.6,4.7
North Carolina,37,39.1,40251,916787,10698973,9.5,6.7,16.9,20.6,6.3,7.7,20,14.4,18.9,6.2,10439388,6488459,2140217,130032,343051,8518,617390,711721,37.6,37.1,23.7,14.2,61.2,26.1,14.4,30,18,10.6,58.3,5.1,0,1,0.5,"1,650",128,36,1,1.1,7.3,11.9,2.3,11.4,5.2,1.7,6.9,11.9,22.5,8.8,4.9,4.1
North Dakota,38,35.4,44337,35824,779261,6.1,4.3,20.6,26.5,20.3,52.4,15.9,9.9,14.3,4.1,779094,645938,26783,38914,13213,924,11382,41940,32.4,32.3,25.3,14.4,57.8,15.8,18.6,25.4,18.3,6.5,66,2.9,0,0,0,990,628,36,0,8.6,7.2,7.1,2.9,11.2,5.5,1.1,5.8,7.2,26.3,8,4.4,4.6
Ohio,39,39.6,40001,585938,11756058,9.3,6.9,23.3,25.9,7.6,38.2,21.5,17.6,19.5,6.8,11799448,9080688,1478781,30720,298509,5034,224344,681372,31.5,31.3,19.3,14.1,60.6,29.4,18.6,27.9,22.2,8.6,59.9,5,0,0,0,826,423,33,1,0.9,5.8,15,2.4,11.2,5.7,1.4,6.5,9.9,24.1,8.7,4.3,3.9
Oklahoma,40,36.9,36858,242754,4019800,11,8.9,21.8,15.8,11.3,40.5,18.9,14.5,18.1,8.3,3959353,2514885,289961,332791,90949,8608,214001,508158,29.9,29.2,21.8,18.2,43.1,14.4,10.3,23.7,13,11.1,57.6,4.9,0,0,0,"3,371",459,18,0,4.1,7.2,9.4,2.3,11.8,5.7,1.5,5.5,9,22.8,9.4,5.2,6.2
Oregon,41,39.9,47250,420943,4240137,7.3,6.5,19.3,14.3,7.5,19.6,13,9.1,12.3,6.2,4237256,3169096,82655,62993,194538,19204,265431,443339,36.9,36.2,32.5,15.9,54.6,19.3,15,29.9,18.9,8.4,58.9,5.5,1,1,1,"2,970",499,13,1,2.8,6.7,10.8,2.5,11.8,4.6,1.5,5.5,11.8,23.3,9.3,4.5,4.7
Pennsylvania,42,40.8,42103,978173,12972008,8,5.6,20.4,16.2,9.4,5.7,26.1,14.8,21.8,5.3,13002700,9750687,1423169,31052,510501,4276,508531,774484,35.3,35,21,18.8,57.6,28.8,15.8,30.9,19.9,8.3,59.4,5.4,0,1,0.5,"2,634",86,38,0,1.2,6,11.6,2.5,11,5.9,1.5,6.6,10.9,26.4,7.7,4.7,4
Rhode Island,44,40.1,46544,157594,1093734,7.2,4.8,14,16.2,7.2,12.1,23.9,12,20.1,4,1097379,782920,62168,7385,38961,536,103615,101794,40.1,39.1,24.8,16.6,54.4,16.1,13.7,23.9,16.1,10.6,60.7,5.9,1,1,1,"2,674",918,45,0,0.5,6.3,10.8,2.3,11.1,4.8,1.4,6.8,11.2,26.8,9.4,4.3,4.3
South Carolina,45,40,37714,273375,5282634,10.2,6.6,19.5,16.6,7.5,8.8,21.4,13.5,18.2,6.4,5118425,3243442,1280531,24303,90466,3431,177876,298376,35.4,35.1,18.2,13.4,54.5,11.3,17,28.3,20.5,10.7,56.4,5.2,0,0,0,"1,456",800,18,0,0.9,7,13.4,2.3,11.4,5.5,1.5,6,10.9,22.1,9.7,4.9,4.5
South Dakota,46,37.5,41562,35175,909824,7.5,4.8,16.5,44.6,2.9,0,11.5,13.9,18.5,4.7,886667,715336,17842,77748,13476,543,15057,46665,32.2,32,18.7,9.6,47.7,12.7,22.5,27.5,20,7.3,65,3.1,0,0,0,517,209,40,0,6.3,7.1,10.1,2.6,11.4,4.5,1.5,7.2,6.8,24.6,8.7,4.5,4.8
Tennessee,47,38.9,38491,392453,7051339,10,8,19.1,15.9,6.4,15.6,21.2,15.1,18.5,7.7,6910840,4990938,1092948,28044,135615,4115,246282,412898,31.1,30.9,22.3,17.2,56,27.5,18.5,26.6,18.9,10.7,58.4,5,0,0,0,"4,798","2,547",40,0,0.9,6.8,12.9,2.4,11.7,7,1.6,6.1,10.3,22.3,9.2,4.8,4.2
Texas,48,35.2,45581,5169126,30029572,10.7,8.4,15.5,13,7.1,15.2,18,14.6,16.6,5.2,29145505,14609365,3552997,278948,1585480,33611,3951366,5133738,41,34.8,27.7,20.1,61.3,23.9,13.1,23.4,17.6,14.8,61.3,5.2,0,0,0,"10,549","4,410",15,0,2.6,8.7,8.5,2.6,11.3,6.4,1.6,6.9,12.2,21.5,8.7,5,4.1
Utah,49,31.4,49232,292299,3380800,5.7,4.9,18,17,7.2,8,12.4,7.4,10.9,4.5,3271616,2573413,40058,41644,80438,36930,220120,279013,38.9,37.9,23.6,16.5,48.8,19.9,14.6,30.9,18.5,6.8,66.8,3.4,0,0,0,934,578,21,0,1.4,7.8,10.2,2.3,11.6,5.4,1.8,7.2,12.8,22.2,8.2,4.4,4.6
Vermont,50,42.9,44200,"30,813",647064,5.9,5.5,20.3,16.7,12.1,15.6,7.5,12.2,12,5.4,643077,577751,9034,2289,11549,181,5247,37026,41.5,41.5,39.7,21.2,55.1,43.9,39.1,43.2,46,5.8,62.2,3.8,1,0,0.5,877,287,42,0,2.6,7.4,10.1,1.8,11.5,3.1,1.8,4.8,9.3,28.7,9.5,4.6,4.9
Virginia,51,38.7,52722,1105028,8683619,6.8,4.9,13.1,10.9,4.9,6.4,15,8.2,11.5,4.7,8631393,5208856,1607581,40007,615436,7156,446650,705707,44.2,43.6,26.6,26,62.9,37.4,22,39.9,28.5,8.9,61,4.4,1,0,0.5,"2,629","1,108",21,1,0.9,6.5,7.1,1.7,9.9,4.8,1.8,6.4,16.4,22.1,8.3,5.2,8.9
Washington,53,38,56616,1188392,7785786,6.3,5,13,17.1,6.2,11.3,14.7,10.2,13.4,4.7,7705281,5130920,307565,121468,730596,64933,513140,836659,39,38.3,27,16.3,57.4,13.5,14.7,32.2,19,7.9,60.4,5,1,1,1,"1,545",494,22,1,2.5,7.2,9.2,2.5,11.7,5.7,2.4,5.3,14.3,21.3,8.6,4.4,5
West Virginia,54,42.6,31167,32600,1775156,11.9,11.5,20.9,12.7,7.4,0,14.2,21.6,17.3,11.4,1793716,1610749,65813,3706,15109,476,12919,84944,22.6,22.6,16.4,15.9,61.6,6.7,23.8,23.2,25.5,11.6,49.9,6.1,0,0,0,"2,543",426,29,0,3.3,6.5,8.1,1.9,12.5,6.1,1.5,4.1,8.3,27.9,8.7,4.3,6.8
Wisconsin,55,39.9,44664,294741,5892539,6.6,4.8,25.5,20.5,8.6,15.3,19,13.5,16.6,4.6,5893718,4737545,376256,60428,175702,2199,182054,359534,33.5,33.2,16,15.5,49.8,20.5,15.1,26.5,17.1,6.9,63.4,3.4,0,1,0.5,882,67,32,1,2.1,6.1,18.1,2.6,11,4.9,1.5,6.1,8.9,23.2,7.8,4.2,3.5
Wyoming,56,38.5,41721,17528,581381,6.8,6.4,28.5,17.8,8.9,2.6,11.6,4.8,13.2,5.9,576851,488374,5232,13898,5212,579,20083,43473,30.5,29.8,41,9.2,52.2,17.3,13.8,23.5,13.9,6.1,62.5,3.8,0,0,0,361,104,27,0,9.8,8.9,4.3,1.9,11,6.1,1.5,4.5,6.8,24.5,9.7,4.8,6.2
