"State","ag_employment_z","construct_employment_z","manu_employment_z","wtrade_employment_z","rtrade_employment_z","trans_employment_z","info_employment_z","finance_employment_z","prof_employment_z","edu_employment_z","arts_employment_z","other_employment_z","public_employment_z"
"Idaho",0.951691025205,2.51936542665944,-0.103066399753187,0.604707897906953,0.723478806894253,-0.702030892360282,-0.152631907577338,-0.537776004159541,-0.406970904093527,-0.729918888053544,-0.0779425551714614,-0.413422873886071,-0.0799802070144741
"Illinois",-0.670509585939886,-1.79543739730535,0.422782578579396,1.51176974476738,-0.980366209342209,1.28110722165182,0.0858554480122538,0.834925507959405,0.670548801245752,-0.244483110025188,-0.309914445562714,-0.0954052785890942,-0.775460268009906
"Indiana",-0.572194397385651,-0.716736691314153,2.26325400274344,0,-0.325041203097416,0.289538164645767,-1.10658132993571,-0.860764595246352,-0.862844625583221,-0.332744160575798,-0.449097579797466,-0.413422873886071,-0.833416939759525
"Iowa",0.656745459542294,-0.357169789317087,1.29043339282816,1.20941579581391,0.461348804396334,-0.404560175258468,-0.629606618756523,1.07716695127451,-1.40160447825286,0.152691617452557,-0.959435738658221,-1.36747565977701,-1.065243626758
"Kansas",0.361799893879587,-0.716736691314153,0.63312216991243,0.604707897906953,-0.849301208093251,-0.305403269557863,0.0858554480122538,0.10820117801408,-0.448413969683499,0.329213718553778,-0.495491957875716,-0.413422873886071,-0.253850222263332
"Kentucky",-0.277248831722944,-0.956447959312197,1.10638625041175,0,0.723478806894253,1.18195031595121,-0.629606618756523,-0.618523151931244,-0.779958494403277,0.0644305669019473,-0.449097579797466,-0.413422873886071,-0.42772023751219
"Louisiana",0.50927267671094,1.32080908666922,-0.6552078270024,0.604707897906953,0.0681538006494602,0.091224353244557,-0.629606618756523,-1.02225889078976,-0.572743166453416,0.505735819654998,0.339606847532793,1.81270029319278,0.267759823483242
"Maine",0.0668543282168804,0.721530916674111,-0.260821093252962,-1.2094157958139,2.1651938206328,-1.29697232656391,-0.152631907577338,0.027454030242378,-0.531300100863444,1.56486842626232,-0.588280714032217,-0.413422873886071,-0.369763565762571
"Maryland",-0.867139963048357,0.481819648676068,-1.39139639666802,-1.81412369372086,-2.68421122557867,-0.602873986659678,0.324342803601846,-0.295534560844433,2.16249916248475,-0.112091534199272,-0.588280714032217,2.13071788848975,3.4553767697123
"Massachusetts",-0.965455151602593,-1.19615922731024,-0.260821093252962,-0.907061846860428,-1.76675621683596,-1.39612923226452,1.03980487037062,0.754178360187701,1.83095463776498,1.78552105263884,-0.634675092110468,-1.04945806448003,-0.717503596260287
"Michigan",-0.621351991662768,-1.43587049530829,2.26325400274344,-0.302353948953475,-0.587171205595332,-0.900344703761492,-1.10658132993571,-0.537776004159541,-0.406970904093527,-0.288613635300493,-0.0779425551714614,-0.413422873886071,-0.891373611509145
"Minnesota",-0.129776048891591,-0.956447959312197,0.896046659078722,1.20941579581391,-0.456106204346374,-0.702030892360282,-0.629606618756523,0.673431212415999,-0.241198641733637,0.682257920756217,-0.773858226345219,-1.04945806448003,-0.775460268009906
"Mississippi",-0.0314608603373552,-0.237314155318065,0.869754210162093,-0.302353948953475,0.199218801898418,1.38026412735242,-1.3450686855253,-1.42599462964827,-1.60881980620272,0.593996870205608,-0.031548177093211,0.222612316707886,0.0938898082343838
"Missouri",-0.375564020277179,-0.237314155318065,0.370197680746138,0.907061846860429,0.199218801898418,0.289538164645767,-0.152631907577338,0.673431212415999,-0.324084772913582,0.0644305669019473,-0.309914445562714,0.540629912004863,-0.42772023751219
"Montana",1.93484291074736,1.92008725666433,-1.36510394775139,-0.604707897906951,1.24773881189009,-0.404560175258468,-0.152631907577338,-0.780017447474649,-0.614186232043388,-0.376874685851103,0.803550628315299,1.17666510259882,0.38367316698248
"Nebraska",0.951691025205,0.361964014677045,0.0809807426632174,0.302353948953476,-0.587171205595332,0.388695070346372,-0.152631907577338,1.15791409904621,-0.697072363223333,0.196822142727863,-0.82025260442347,-0.413422873886071,-0.42772023751219
"Nevada",-0.473879208831415,0.721530916674111,-1.25993415208487,-0.907061846860428,0.199218801898418,1.18195031595121,-0.391119263166931,-0.457028856387838,0.463333473295891,-3.11296725292002,5.4893828142186,-0.0954052785890942,-0.485676909261809
"New Hampshire",-0.81798236877124,0.122252746679001,0.790876863412205,0.302353948953476,1.11667381064113,-1.69359994936633,0.801317514781031,-0.053293117529325,0.380447342115946,0.240952668003167,-0.402703201719215,-1.36747565977701,-0.601590252761048
"New Jersey",-1.01461274587971,-1.07630359331122,-0.497453133502625,2.41883159162781,-0.718236206844293,0.884479598849396,2.23224164831858,1.80389128121984,1.33363785068531,0.0644305669019473,-0.82025260442347,-1.36747565977701,-0.42772023751219
"New Mexico",0.853375836650765,0.481819648676068,-1.54915109016779,-1.51176974476738,-0.325041203097416,-0.900344703761492,-0.629606618756523,-1.26450033410486,0.504776538885863,0.682257920756217,0.571578737924046,2.44873548378673,1.48484993022525
"New York",-0.867139963048357,-1.43587049530829,-1.1021794585851,-0.604707897906951,-1.89782121808492,0.091224353244557,2.70921635949777,1.31940839458962,0.711991866835724,2.18269578011659,-0.217125689406213,-0.0954052785890942,-0.195893550513713
"North Carolina",-0.621351991662768,0.361964014677045,0.501659925329284,0,0.199218801898418,-0.404560175258468,0.0858554480122538,0.431189769100891,0.421890407705919,-0.597527312227628,-0.124336933249712,0.858647507301843,-0.543633581011429
"North Dakota",3.06546757912106,0.242108380678023,-0.760377622668917,1.81412369372086,-0.0629112005995002,-0.107089458156653,-1.3450686855253,-0.457028856387838,-1.52593367502278,1.07943264823396,-0.495491957875716,-0.731440469183048,-0.253850222263332
