"state","fips","median_age","median_income","poverty_perc","white_poverty_perc","blkAA_poverty_perc","AIAN_poverty_perc","asian_poverty_perc","PI_poverty_perc","other_poverty_perc","twomore_poverty_perc","hisp_poverty_perc","whitenon_poverty_perc","whitenon_edu_perc","white_edu_perc","blkAA_edu_perc","AIAN_edu_perc","asian_edu_perc","PI_edu_perc","other_edu_perc","twomore_edu_perc","hisp_edu_perc","no_highschool","employment_perc","unemployment_perc","leg_ctrl","gov_party","state_ctrl","bills_introduced","bills_enacted","reincarceration","det_sentencing","ag_employment","construct_employment","manu_employment","wtrade_employment","rtrade_employment","trans_employment","info_employment","finance_employment","prof_employment","edu_employment","arts_employment","other_employment","public_employment","white_perc","blkAA_perc","AIAN_perc","asian_perc","PI_perc","other_perc","twomore_perc","foreign_perc","able_to_work"
"Michigan",26,39.9,40380,8.8,6.7,21.7,16.8,6.3,19.1,15.1,12.8,15.6,6.5,32.3,32.1,18.7,13.5,65.3,34.7,20.9,29.2,22.5,8.2,57.7,6,"1","1","1",1602,303,22,"0",1.1,5.8,18.6,2.2,10.8,4.7,1.2,5.7,9.9,23.2,8.9,4.5,3.5,0.738784307074959,0.136601546580141,0.00607908979073923,0.0331734662680029,0.000302758736415426,0.0220148569100291,0.0630439746397136,0.0692839171315306,0.995711860610711
"Minnesota",27,38.5,49489,5.5,3.8,20.5,27.6,9.1,11.6,13.7,11.2,13.9,3.6,39.8,39.6,23,14.2,46,15.1,18.9,34,22.7,6.3,65.9,4,"0.5","1","0.5",6777,94,19,"1",2.1,6.2,13.4,2.7,10.9,4.9,1.4,7.2,10.3,25.4,7.4,4.3,3.7,0.775107447760394,0.0698211546354031,0.012028576565576,0.052429740572758,0.000511347247539382,0.0295179491996312,0.0605837840186987,0.0872502966495394,1.00187330434414
"Mississippi",28,38.1,28909,14.4,8.1,25.4,22.3,9.1,62.6,22.6,15.8,19.3,7.9,27.7,27.5,17.5,9.8,45.8,30.7,16,22.5,16,13.8,53,6.4,"0","0","0",3525,817,35,"0",2.3,6.8,13.3,2.2,11.4,7,1.1,4.6,7,25.2,9,4.7,5.2,0.5601947671935,0.366220474328829,0.00555503213307493,0.0110455651088601,0.000389696479122703,0.0192011627408292,0.0373933020157844,0.0222607929029947,0.992833502010449
"Missouri",29,38.8,38396,8.5,7,19.1,15.7,5.6,13.2,16.3,12.4,15.6,6.8,32.2,32.1,20.3,20.4,62.7,19.3,20.8,28.6,23.5,8.7,59.8,4.3,"0","0","0",2318,53,30,"0",1.6,6.8,11.4,2.6,11.4,5.9,1.6,7.2,10.1,24,8.4,4.8,4.3,0.770170918744099,0.113704287940382,0.00495831541404403,0.021670005733631,0.00158085093972896,0.0207869713186848,0.0671286499094301,0.0408832563904216,1.00374400093064
"Montana",30,40.1,39863,7.3,6,9.7,30.1,10.3,1.5,13.4,11.4,14.6,5.9,35.3,35.1,27.9,15,53,14.3,28.2,29.8,23.5,5.5,60.2,3.9,"0","0","0",1801,807,37,"0",6.3,8.6,4.8,2.1,12.2,5.2,1.6,5.4,9.4,23,10.8,5,5.7,0.845326385206023,0.00505799073070626,0.0623597500518804,0.00765523761211926,0.000867901035301713,0.0129945352671263,0.0657382000968434,0.0208092320818049,1.03564020383223
"Nebraska",31,36.9,41249,6.7,5.4,19.4,21.1,5.8,16.8,15,12.9,14.5,5,35.8,35.1,21,12.9,43.6,16.7,13.2,25.9,15,8.1,66.3,3.1,"0","0","0",1133,165,30,"0",4.3,7.3,10.3,2.4,10.8,6,1.6,7.8,9.2,24.3,7.3,4.5,4.3,0.784118717066088,0.0492147862048714,0.0117776971140513,0.0269951017178655,0.000782052955283293,0.0536154909701943,0.0734961539716462,0.072446432101256,1.00327248886569
"Nevada",32,38.5,46110,9,6.7,17,19.3,7.7,10.5,15.1,10.3,13.1,5.7,31.7,29.5,20.2,12.2,41.6,18.8,9.4,19.9,12.3,12.9,58.4,7,"1","0","0.5",968,494,24,"0",1.4,7.6,5.2,2,11.4,6.8,1.5,5.8,12,16.8,20.9,4.6,4.2,0.511645892210755,0.0981568078994683,0.0141505514051022,0.0878379727721385,0.00805607395959691,0.140357867354847,0.139794834398093,0.189112686498591,1.02356428206534
"New Hampshire",33,43.1,51252,4.4,4.1,10.7,1.4,5.3,0,7.8,7.7,10.8,4,39.1,38.9,26.2,22.1,61.1,26.6,28.7,34,26.7,6.2,64.1,3.6,"0","0","0",787,129,48,"0",0.7,7.1,13,2.4,12.1,3.9,2,6.3,11.8,24.4,8.2,4.2,4,0.882887402007508,0.0146109446697674,0.00220031665395066,0.0260401051447919,0.000328849701167816,0.0174965463522002,0.0564358354706144,0.0621768008308302,1.0128505461591
"New Jersey",34,40,55112,6.9,4.6,12.5,13.4,4.6,12.6,16.5,11.6,14.4,3.7,46.9,44.7,27.1,20.8,71.8,30.9,17.1,32.3,21.9,9.4,61.8,6.2,"1","1","1",1434,56,29,"0",0.3,6.1,8.1,3.1,10.7,6.5,2.6,8.6,14.1,24,7.3,4.2,4.3,0.550358844025521,0.131313466237571,0.00551039219101659,0.10228125887475,0.000380342586075521,0.112890696236858,0.0972649998482075,0.23549480500284,0.997061576312785
"New Mexico",35,38.6,36646,13.7,10.8,17.4,27.9,7.6,14.5,19.7,14.6,17.6,7.1,42.2,34.6,31.2,11.5,54,28.6,13.7,24.1,18.7,12.9,53.2,6.2,"1","1","1",1294,351,49,"1",4.1,7.4,4.1,1.8,11,4.7,1.4,4.8,12.1,25.4,10.3,5.4,7.6,0.509528118243872,0.0216781691052088,0.100230835854362,0.0176947394171111,0.000988419482772788,0.150473997436626,0.199405720460047,0.0931571007843494,0.998026939035344
