"fips","state","median_age","median_income","foreign_born","poverty_perc","white_poverty_perc","blkAA_poverty_perc","AIAN_poverty_perc","asian_poverty_perc","PI_poverty_perc","other_poverty_perc","twomore_poverty_perc","hisp_poverty_perc","whitenon_poverty_perc","total_population","white_total","blkAA_total","AIAN_total","asian_total","PI_total","other_total","twomore_total","whitenon_edu_perc","white_edu_perc","blkAA_edu_perc","AIAN_edu_perc","asian_edu_perc","PI_edu_perc","other_edu_perc","twomore_edu_perc","hisp_edu_perc","employment_perc","unemployment_perc"
"15","Hawaii",39.9,55684,246683,6.5,5.6,2.7,14.6,4.7,13.5,6.5,8.5,9.9,5.4,1455271,333261,23417,4370,541902,157445,26747,368129,46.9,46,33,32.9,36.2,13.2,29.9,28,26.7,710984,5.1
"16","Idaho",36.9,41283,115978,7.3,6.6,15.8,20.1,8.8,22.9,14.1,10.4,13.4,6.3,1839106,1510360,15726,25621,26836,3726,103632,153205,32,31.4,24.1,14.7,49,33.5,11.1,23.9,14.4,907617,3.8
"17","Illinois",38.7,46674,1810100,8.2,5.5,20.4,10.3,6.7,18.7,13.8,10.3,12,5,12812508,7868227,1808271,96498,754878,4501,1135149,1144984,40.8,39.2,23.9,18.6,66.6,25.9,13.8,28.5,17.7,6678194,6
"18","Indiana",38,39134,414526,8.5,6.7,21.8,15.2,9.4,6.4,17.8,13.6,15.9,6.5,6785528,5241795,648513,26086,167959,3137,261312,436726,29,28.8,20,18.5,57.1,13.1,13.7,26.5,17.8,3441316,4.5
"19","Iowa",38.4,41684,190727,7,6,27.8,26.5,7.3,29.8,12.2,13.8,15.1,5.7,3190369,2694521,131972,14486,75629,5758,88720,179283,31.1,30.7,18.2,13.9,47.3,12.1,15.9,26.2,15.6,1692129,3.8
"20","Kansas",37.1,40520,207583,7.6,6.2,17.8,17.5,9.1,13.8,18.2,14.2,16.3,5.7,2937880,2222462,168809,30995,86273,3412,145422,280507,37.5,36.4,22.2,18.1,51.7,10.6,13.7,25.8,15.3,1513506,4
"21","Kentucky",39.1,34807,180899,11.7,10.7,21.1,14.2,9,4.9,22.4,18.2,18.5,10.6,4505836,3711254,362417,12801,74426,3681,96417,244840,26.8,26.7,19.5,16.8,55,10.2,18,24.8,21.8,2133954,5.1
"22","Louisiana",37.6,33230,192895,13.9,8.6,25.2,15.3,11.1,19.8,25.7,16.5,19.1,8.4,4657757,2657652,1464023,31657,86438,1911,142699,273377,30.1,29.9,17.4,12.3,45.4,33.5,16,28.1,22.2,2161343,6.6
"23","Maine",44.8,39563,NA,6.4,6.1,19.1,15.6,7.9,0,12.7,10.5,8.3,6.1,1362359,1237041,25752,7885,16798,443,9730,64710,34.1,34.2,32.3,19.3,45.7,25.1,40.2,31.3,36,712132,4
"24","Maryland",39.1,59311,1029710,6.2,3.8,9.6,10.7,5.9,1.3,12.7,8.3,10,3.7,6177224,3007874,1820472,31845,420944,3247,410941,481901,47.4,46.8,32.7,24.3,64.1,39.5,16.3,44.8,24.7,3300378,5.1
"25","Massachusetts",39.8,56588,1259871,6.5,4.6,13.4,18.5,7.4,15.1,16.8,13.8,18.6,4,7029917,4896037,494029,24018,507934,2301,496731,608867,49.2,48.3,30.3,24.4,63.4,40.5,18.9,33.5,22.4,3877649,5.3
"26","Michigan",39.9,40380,695203,8.8,6.7,21.7,16.8,6.3,19.1,15.1,12.8,15.6,6.5,10077331,7444974,1376579,61261,334300,3051,221851,635315,32.3,32.1,18.7,13.5,65.3,34.7,20.9,29.2,22.5,5013611,6
"27","Minnesota",38.5,49489,498826,5.5,3.8,20.5,27.6,9.1,11.6,13.7,11.2,13.9,3.6,5706494,4423146,398434,68641,299190,2918,168444,345721,39.8,39.6,23,14.2,46,15.1,18.9,34,22.7,3112649,4
"28","Mississippi",38.1,28909,65448,14.4,8.1,25.4,22.3,9.1,62.6,22.6,15.8,19.3,7.9,2961279,1658893,1084481,16450,32709,1154,56860,110732,27.7,27.5,17.5,9.8,45.8,30.7,16,22.5,16,1331419,6.4
"29","Missouri",38.8,38396,252575,8.5,7,19.1,15.7,5.6,13.2,16.3,12.4,15.6,6.8,6154913,4740335,699840,30518,133377,9730,127942,413171,32.2,32.1,20.3,20.4,62.7,19.3,20.8,28.6,23.5,3087517,4.3
"30","Montana",40.1,39863,NA,7.3,6,9.7,30.1,10.3,1.5,13.4,11.4,14.6,5.9,1084225,916524,5484,67612,8300,941,14089,71275,35.3,35.1,27.9,15,53,14.3,28.2,29.8,23.5,555742,3.9
"31","Nebraska",36.9,41249,142569,6.7,5.4,19.4,21.1,5.8,16.8,15,12.9,14.5,5,1961504,1538052,96535,23102,52951,1534,105167,144163,35.8,35.1,21,12.9,43.6,16.7,13.2,25.9,15,1047813,3.1
"32","Nevada",38.5,46110,600957,9,6.7,17,19.3,7.7,10.5,15.1,10.3,13.1,5.7,3104614,1588463,304739,43932,272703,25011,435757,434009,31.7,29.5,20.2,12.2,41.6,18.8,9.4,19.9,12.3,1566279,7
"33","New Hampshire",43.1,51252,86751,4.4,4.1,10.7,1.4,5.3,0,7.8,7.7,10.8,4,1377529,1216203,20127,3031,35871,453,24102,77742,39.1,38.9,26.2,22.1,61.1,26.6,28.7,34,26.7,768414,3.6
"34","New Jersey",40,55112,2181082,6.9,4.6,12.5,13.4,4.6,12.6,16.5,11.6,14.4,3.7,9288994,5112280,1219770,51186,950090,3533,1048641,903494,46.9,44.7,27.1,20.8,71.8,30.9,17.1,32.3,21.9,4927193,6.2
"35","New Mexico",38.6,36646,196873,13.7,10.8,17.4,27.9,7.6,14.5,19.7,14.6,17.6,7.1,2117522,1078937,45904,212241,37469,2093,318632,422246,42.2,34.6,31.2,11.5,54,28.6,13.7,24.1,18.7,962817,6.2
"36","New York",39.3,50120,4459752,9.7,6.4,16.5,18.9,11.1,13.7,19.1,12.9,17.1,5.7,20201249,11143349,2986172,149690,1933127,10815,2210633,1767463,45.4,44,25.9,19.6,49,19.1,17.4,34,22,10253938,6.2
"37","North Carolina",39.1,40251,916787,9.5,6.7,16.9,20.6,6.3,7.7,20,14.4,18.9,6.2,10439388,6488459,2140217,130032,343051,8518,617390,711721,37.6,37.1,23.7,14.2,61.2,26.1,14.4,30,18,5188874,5.1
"38","North Dakota",35.4,44337,NA,6.1,4.3,20.6,26.5,20.3,52.4,15.9,9.9,14.3,4.1,779094,645938,26783,38914,13213,924,11382,41940,32.4,32.3,25.3,14.4,57.8,15.8,18.6,25.4,18.3,416963,2.9
"39","Ohio",39.6,40001,585938,9.3,6.9,23.3,25.9,7.6,38.2,21.5,17.6,19.5,6.8,11799448,9080688,1478781,30720,298509,5034,224344,681372,31.5,31.3,19.3,14.1,60.6,29.4,18.6,27.9,22.2,5987111,5
"40","Oklahoma",36.9,36858,242754,11,8.9,21.8,15.8,11.3,40.5,18.9,14.5,18.1,8.3,3959353,2514885,289961,332791,90949,8608,214001,508158,29.9,29.2,21.8,18.2,43.1,14.4,10.3,23.7,13,1892374,4.9
"41","Oregon",39.9,47250,420943,7.3,6.5,19.3,14.3,7.5,19.6,13,9.1,12.3,6.2,4237256,3169096,82655,62993,194538,19204,265431,443339,36.9,36.2,32.5,15.9,54.6,19.3,15,29.9,18.9,2165226,5.5
"42","Pennsylvania",40.8,42103,978173,8,5.6,20.4,16.2,9.4,5.7,26.1,14.8,21.8,5.3,13002700,9750687,1423169,31052,510501,4276,508531,774484,35.3,35,21,18.8,57.6,28.8,15.8,30.9,19.9,6680740,5.4
"44","Rhode Island",40.1,46544,157594,7.2,4.8,14,16.2,7.2,12.1,23.9,12,20.1,4,1097379,782920,62168,7385,38961,536,103615,101794,40.1,39.1,24.8,16.6,54.4,16.1,13.7,23.9,16.1,588670,5.9
"45","South Carolina",40,37714,273375,10.2,6.6,19.5,16.6,7.5,8.8,21.4,13.5,18.2,6.4,5118425,3243442,1280531,24303,90466,3431,177876,298376,35.4,35.1,18.2,13.4,54.5,11.3,17,28.3,20.5,2479960,5.2
"46","South Dakota",37.5,41562,NA,7.5,4.8,16.5,44.6,2.9,0,11.5,13.9,18.5,4.7,886667,715336,17842,77748,13476,543,15057,46665,32.2,32,18.7,9.6,47.7,12.7,22.5,27.5,20,468056,3.1
"47","Tennessee",38.9,38491,392453,10,8,19.1,15.9,6.4,15.6,21.2,15.1,18.5,7.7,6910840,4990938,1092948,28044,135615,4115,246282,412898,31.1,30.9,22.3,17.2,56,27.5,18.5,26.6,18.9,3430845,5
"48","Texas",35.2,45581,5169126,10.7,8.4,15.5,13,7.1,15.2,18,14.6,16.6,5.2,29145505,14609365,3552997,278948,1585480,33611,3951366,5133738,41,34.8,27.7,20.1,61.3,23.9,13.1,23.4,17.6,14674135,5.2
"49","Utah",31.4,49232,292299,5.7,4.9,18,17,7.2,8,12.4,7.4,10.9,4.5,3271616,2573413,40058,41644,80438,36930,220120,279013,38.9,37.9,23.6,16.5,48.8,19.9,14.6,30.9,18.5,1696258,3.4
"50","Vermont",42.9,44200,NA,5.9,5.5,20.3,16.7,12.1,15.6,7.5,12.2,12,5.4,643077,577751,9034,2289,11549,181,5247,37026,41.5,41.5,39.7,21.2,55.1,43.9,39.1,43.2,46,350677,3.8
"51","Virginia",38.7,52722,1105028,6.8,4.9,13.1,10.9,4.9,6.4,15,8.2,11.5,4.7,8631393,5208856,1607581,40007,615436,7156,446650,705707,44.2,43.6,26.6,26,62.9,37.4,22,39.9,28.5,4442586,4.4
"53","Washington",38,56616,1188392,6.3,5,13,17.1,6.2,11.3,14.7,10.2,13.4,4.7,7705281,5130920,307565,121468,730596,64933,513140,836659,39,38.3,27,16.3,57.4,13.5,14.7,32.2,19,3949085,5
"54","West Virginia",42.6,31167,NA,11.9,11.5,20.9,12.7,7.4,0,14.2,21.6,17.3,11.4,1793716,1610749,65813,3706,15109,476,12919,84944,22.6,22.6,16.4,15.9,61.6,6.7,23.8,23.2,25.5,783715,6.1
"55","Wisconsin",39.9,44664,294741,6.6,4.8,25.5,20.5,8.6,15.3,19,13.5,16.6,4.6,5893718,4737545,376256,60428,175702,2199,182054,359534,33.5,33.2,16,15.5,49.8,20.5,15.1,26.5,17.1,3125976,3.4
"56","Wyoming",38.5,41721,NA,6.8,6.4,28.5,17.8,8.9,2.6,11.6,4.8,13.2,5.9,576851,488374,5232,13898,5212,579,20083,43473,30.5,29.8,41,9.2,52.2,17.3,13.8,23.5,13.9,299351,3.8
