fips,state,median_age,median_income,foreign_born,poverty_perc,white_poverty_perc,blkAA_poverty_perc,AIAN_poverty_perc,asian_poverty_perc,PI_poverty_perc,other_poverty_perc,twomore_poverty_perc,hisp_poverty_perc,whitenon_poverty_perc,total_population,white_total,blkAA_total,AIAN_total,asian_total,PI_total,other_total,twomore_total,whitenon_edu_perc,white_edu_perc,blkAA_edu_perc,AIAN_edu_perc,asian_edu_perc,PI_edu_perc,other_edu_perc,twomore_edu_perc,hisp_edu_perc,no_highschool,employment_total,unemployment_perc,leg_ctrl,gov_party,state_ctrl,bills_intro,bills_enacted,reincarceration,determ_senten,prob_complete_rate,parole_complete_rate,rev_rate
42,Pennsylvania,40.8,42103,978173,8,5.6,20.4,16.2,9.4,5.7,26.1,14.8,21.8,5.3,13002700,9750687,1423169,31052,510501,4276,508531,774484,35.3,35,21,18.8,57.6,28.8,15.8,30.9,19.9,8.3,6680740,5.4,Rep,Dem,Divided,"2,634",86,38%,1,6.778383809,21.6914295,10.69592324
44,Rhode Island,40.1,46544,157594,7.2,4.8,14,16.2,7.2,12.1,23.9,12,20.1,4,1097379,782920,62168,7385,38961,536,103615,101794,40.1,39.1,24.8,16.6,54.4,16.1,13.7,23.9,16.1,10.6,588670,5.9,Dem,Dem,Dem,"2,674",918,45%,1,N/A,N/A,N/A
45,South Carolina,40,37714,273375,10.2,6.6,19.5,16.6,7.5,8.8,21.4,13.5,18.2,6.4,5118425,3243442,1280531,24303,90466,3431,177876,298376,35.4,35.1,18.2,13.4,54.5,11.3,17,28.3,20.5,10.7,2479960,5.2,Rep,Rep,Rep,"1,456",800,18%,1,85.70787189,90.19238023,4.979253112
46,South Dakota,37.5,41562,NA,7.5,4.8,16.5,44.6,2.9,0,11.5,13.9,18.5,4.7,886667,715336,17842,77748,13476,543,15057,46665,32.2,32,18.7,9.6,47.7,12.7,22.5,27.5,20,7.3,468056,3.1,Rep,Rep,Rep,517,209,40%,1,61.42322097,57.86492375,24.66230937
47,Tennessee,38.9,38491,392453,10,8,19.1,15.9,6.4,15.6,21.2,15.1,18.5,7.7,6910840,4990938,1092948,28044,135615,4115,246282,412898,31.1,30.9,22.3,17.2,56,27.5,18.5,26.6,18.9,10.7,3430845,5,Rep,Rep,Rep,"4,798","2,547",40%,1,69.53777613,62.5794155,18.42439644
48,Texas,35.2,45581,5169126,10.7,8.4,15.5,13,7.1,15.2,18,14.6,16.6,5.2,29145505,14609365,3552997,278948,1585480,33611,3951366,5133738,41,34.8,27.7,20.1,61.3,23.9,13.1,23.4,17.6,14.8,14674135,5.2,Rep,Rep,Rep,"10,549","4,410",15%,1,46.47978872,81.40865002,1.942863882
49,Utah,31.4,49232,292299,5.7,4.9,18,17,7.2,8,12.4,7.4,10.9,4.5,3271616,2573413,40058,41644,80438,36930,220120,279013,38.9,37.9,23.6,16.5,48.8,19.9,14.6,30.9,18.5,6.8,1696258,3.4,Rep,Rep,Rep,934,578,21%,1,47.17214563,24.56140351,50.90909091
50,Vermont,42.9,44200,NA,5.9,5.5,20.3,16.7,12.1,15.6,7.5,12.2,12,5.4,643077,577751,9034,2289,11549,181,5247,37026,41.5,41.5,39.7,21.2,55.1,43.9,39.1,43.2,46,5.8,350677,3.8,Dem,Rep,Divided,877,287,42%,1,N/A,N/A,N/A
51,Virginia,38.7,52722,1105028,6.8,4.9,13.1,10.9,4.9,6.4,15,8.2,11.5,4.7,8631393,5208856,1607581,40007,615436,7156,446650,705707,44.2,43.6,26.6,26,62.9,37.4,22,39.9,28.5,8.9,4442586,4.4,Dem,Rep,Divided,"2,629","1,108",21%,1,76.83657383,77.73359841,5.566600398
53,Washington,38,56616,1188392,6.3,5,13,17.1,6.2,11.3,14.7,10.2,13.4,4.7,7705281,5130920,307565,121468,730596,64933,513140,836659,39,38.3,27,16.3,57.4,13.5,14.7,32.2,19,7.9,3949085,5,Dem,Dem,Dem,"1,545",494,22%,1,49.57345972,74.40103605,12.21670624
54,West Virginia,42.6,31167,NA,11.9,11.5,20.9,12.7,7.4,0,14.2,21.6,17.3,11.4,1793716,1610749,65813,3706,15109,476,12919,84944,22.6,22.6,16.4,15.9,61.6,6.7,23.8,23.2,25.5,11.6,783715,6.1,Rep,Rep,Rep,"2,543",426,29%,1,35.55015466,65.56174831,29.36344969
55,Wisconsin,39.9,44664,294741,6.6,4.8,25.5,20.5,8.6,15.3,19,13.5,16.6,4.6,5893718,4737545,376256,60428,175702,2199,182054,359534,33.5,33.2,16,15.5,49.8,20.5,15.1,26.5,17.1,6.9,3125976,3.4,Rep,Dem,Divided,882,67,32%,1,N/A,N/A,N/A
56,Wyoming,38.5,41721,NA,6.8,6.4,28.5,17.8,8.9,2.6,11.6,4.8,13.2,5.9,576851,488374,5232,13898,5212,579,20083,43473,30.5,29.8,41,9.2,52.2,17.3,13.8,23.5,13.9,6.1,299351,3.8,Rep,Rep,Rep,361,104,27%,1,73.65833675,81.61559889,12.81337047
