Location,Private,Vendors,Public,Background checks for some positions,Background check only after offer or finalists,EEOC Criteria,NCA,State,Population,Employer Index,Background Check Index,EEOC Index,NCA Index,Place Index,Interim Index,Total Index
Northampton County,,,X,,,,,PENNSYLVANIA,314299.0,0.15,0.0,0,0.0,0.049999999999999996,0.0,
Philadelphia,X,X,X,,X,X,"N, C, A",PENNSYLVANIA,1052.0,1.0,0.25,1,0.4999998,0.9166666,7.019159776331243e-05,
Pittsburgh,,X,X,,X,,N,PENNSYLVANIA,1866.0,0.2,0.25,0,0.1666666,0.20555553333333335,2.2346753181564262e-05,
Reading,,,X,,X,,,PENNSYLVANIA,94601.0,0.15,0.25,0,0.0,0.13333333333333333,0.0006069205040574196,
York,,,X,,,,,PENNSYLVANIA,8853.0,0.15,0.0,0,0.0,0.049999999999999996,0.0,
RHODE ISLAND,X,X,X,,,,A,,1094250.0,1.0,0.0,0,0.1666666,0.3888888666666667,0.3888888666666667,0.3888888666666667
Providence,,,X,,,,,RHODE ISLAND,47012.0,0.15,0.0,0,0.0,0.049999999999999996,0.0,
SOUTH CAROLINA,,,,,,,,,5142750.0,0.0,0.0,0,0.0,0.0,0.0,0.032559663441906896
Aiken,,,X,,X,X,"N, C",SOUTH CAROLINA,32014.0,0.15,0.25,1,0.3333332,0.5777777333333333,0.003596709222679176,
Columbia,,,X,X,X,X,"N, C",SOUTH CAROLINA,136754.0,0.15,0.5,1,0.3333332,0.6611110666666666,0.0175800073522791,
Richland County,,,X,,,,,SOUTH CAROLINA,416161.0,0.15,0.0,0,0.0,0.049999999999999996,0.0040460940158475525,
York County,,,X,,X,,,SOUTH CAROLINA,282987.0,0.15,0.25,0,0.0,0.13333333333333333,0.007336852851101065,
TENNESSEE,,,X,,,X,A,,6923772.0,0.15,0.0,1,0.1666666,0.43888886666666665,0.43888886666666665,0.4584741266470454
Chattanooga,,,X,,,,,TENNESSEE,181288.0,0.15,0.0,0,0.0,0.049999999999999996,0.0,
Hamilton County,,,X,,X,,,TENNESSEE,367193.0,0.15,0.25,0,0.0,0.13333333333333333,0.004419472025749355,
Memphis,,,X,,,X,"N, C, A",TENNESSEE,630027.0,0.15,0.0,1,0.4999998,0.5499999333333333,0.015165787954629355,
Nashville,,,X,,,,,TENNESSEE,684103.0,0.15,0.0,0,0.0,0.049999999999999996,0.0,
TEXAS,,,,,,,,,29243342.0,0.0,0.0,0,0.0,0.0,0.0,0.11808541709057967
Austin,X,X,X,X,X,X,"N, A",TEXAS,958202.0,1.0,0.5,1,0.3333332,0.9444444000000001,0.03094613854219535,
Dallas County,,,X,,,X,A,TEXAS,2604053.0,0.15,0.0,1,0.1666666,0.43888886666666665,0.03908205395641624,
DeSoto,X,X,X,,,,A,TEXAS,55882.0,1.0,0.0,0,0.1666666,0.3888888666666667,0.0007431396742228254,
San Antonio,,,X,,X,X,,TEXAS,1445662.0,0.15,0.25,1,0.0,0.4666666666666666,0.023069944148882388,
Travis County,,,X,X,X,X,,TEXAS,1289054.0,0.15,0.5,1,0.0,0.5499999999999999,0.024244140768862874,
UTAH,,,X,,,,,,3283809.0,0.15,0.0,0,0.0,0.049999999999999996,0.049999999999999996,0.049999999999999996
VERMONT,X,X,X,,,,A,,643816.0,1.0,0.0,0,0.1666666,0.3888888666666667,0.3888888666666667,0.3888888666666667
VIRGINIA,,,X,,,X,,,8624511.0,0.15,0.0,1,0.0,0.3833333333333333,0.3833333333333333,0.4028168337587139
Alexandria,,,X,,X,,,VIRGINIA,157594.0,0.15,0.25,0,0.0,0.13333333333333333,0.0015227336753739816,
Arlington County,,,X,,,,,VIRGINIA,235845.0,0.15,0.0,0,0.0,0.049999999999999996,0.0,
Blacksburg,,,X,,X,X,,VIRGINIA,45147.0,0.15,0.25,1,0.0,0.4666666666666666,0.0004362276307607469,
Charlottesville,,,X,,,,,VIRGINIA,46289.0,0.15,0.0,0,0.0,0.049999999999999996,0.0,
Danville,,,X,,X,X,,VIRGINIA,42507.0,0.15,0.25,1,0.0,0.4666666666666666,0.00041071893815197176,
Fairfax County,,,X,,X,,,VIRGINIA,1145354.0,0.15,0.25,0,0.0,0.13333333333333333,0.01106684966448146,
Fredericksburg,,,X,,X,X,N,VIRGINIA,28258.0,0.15,0.25,1,0.1666666,0.5222222,0.0004550659851053198,
Harrisonburg,,,X,,X,,"N, A",VIRGINIA,51784.0,0.15,0.25,0,0.3333332,0.2444444,0.0011674990975836196,
Henry County,,,X,,,,,VIRGINIA,50760.0,0.15,0.0,0,0.0,0.049999999999999996,0.0,
Montgomery County,,,X,,,,,VIRGINIA,99373.0,0.15,0.0,0,0.0,0.049999999999999996,0.0,
Newport News,,,X,,,X,,VIRGINIA,185118.0,0.15,0.0,1,0.0,0.3833333333333333,0.0,
Norfolk,,,X,,,X,,VIRGINIA,236973.0,0.15,0.0,1,0.0,0.3833333333333333,0.0,
Petersburg,,,X,,,,,VIRGINIA,33261.0,0.15,0.0,0,0.0,0.049999999999999996,0.0,
Portsmouth,,,X,,,,,VIRGINIA,97384.0,0.15,0.0,0,0.0,0.049999999999999996,0.0,
Prince William County,,,X,,,,,VIRGINIA,481114.0,0.15,0.0,0,0.0,0.049999999999999996,0.0,
Richmond,,,X,,,,,VIRGINIA,227171.0,0.15,0.0,0,0.0,0.049999999999999996,0.0,
Roanoke,,,X,,,,,VIRGINIA,99213.0,0.15,0.0,0,0.0,0.049999999999999996,0.0,
Staunton,,,X,,,,,VIRGINIA,25581.0,0.15,0.0,0,0.0,0.049999999999999996,0.0,
Virginia Beach,,,X,,X,X,,VIRGINIA,457900.0,0.15,0.25,1,0.0,0.4666666666666666,0.004424405433923539,
WASHINGTON,X,X,X,,,,A,,7688549.0,1.0,0.0,0,0.1666666,0.3888888666666667,0.3888888666666667,0.5336703095995183
Seattle,X,X,X,,,X,"N, C, A",WASHINGTON,734603.0,1.0,0.0,1,0.4999998,0.8333332666666666,0.04777253172561775,
Spokane,X,X,X,,,X7,,WASHINGTON,10228.0,1.0,0.0,1,0.0,0.6666666666666666,0.0004434300065374277,
Spokane County,,,X,,,X,"N, C, A",WASHINGTON,538711.0,0.15,0.0,1,0.4999998,0.5499999333333333,0.035033328666557666,
Tacoma,,,X,,X,X,"N, C",WASHINGTON,219234.0,0.15,0.25,1,0.3333332,0.5777777333333333,0.015049240577071174,
Pierce County,,,X,,,X,N,WASHINGTON,918993.0,0.15,0.0,1,0.1666666,0.43888886666666665,0.046482911957067594,
WISCONSIN,,,X,,,,,,5882128.0,0.15,0.0,0,0.0,0.049999999999999996,0.049999999999999996,0.05963710738308766
Dane County,,,X,,,,,WISCONSIN,559891.0,0.15,0.0,0,0.0,0.049999999999999996,0.0,
Madison,,X8,X8,,X,,"N9, A10",WISCONSIN,268516.0,0.2,0.25,0,0.3333332,0.26111106666666667,0.009637107383087663,
Milwaukee,,,X,,,,,WISCONSIN,573299.0,0.15,0.0,0,0.0,0.049999999999999996,0.0,
Milwaukee County,,,X,,,,,WISCONSIN,933063.0,0.15,0.0,0,0.0,0.049999999999999996,0.0,
